id,county,units,value,income,costs,taxes
01001,"Autauga County, Alabama",9887,155100,71420,1145,500
01003,"Baldwin County, Alabama",32052,183600,73670,1325,613
01005,"Barbour County, Alabama",2620,111000,60579,902,361
01007,"Bibb County, Alabama",2494,112700,56700,1038,310
01009,"Blount County, Alabama",8442,133700,65091,1075,454
01011,"Bullock County, Alabama",861,86800,48822,926,315
01013,"Butler County, Alabama",2414,102700,50714,950,366
01015,"Calhoun County, Alabama",16314,122200,63096,1040,511
01017,"Chambers County, Alabama",4757,90800,51752,906,367
01019,"Cherokee County, Alabama",3924,134800,62500,1132,531
01021,"Chilton County, Alabama",6263,107900,62516,1007,437
01023,"Choctaw County, Alabama",1450,106000,66538,965,241
01025,"Clarke County, Alabama",2437,116100,65288,1038,339
01027,"Clay County, Alabama",1783,128000,49629,1041,339
01029,"Cleburne County, Alabama",2008,118900,56774,1057,464
01031,"Coffee County, Alabama",7151,157400,75404,1146,601
01033,"Colbert County, Alabama",8353,109000,65318,961,414
01035,"Conecuh County, Alabama",1057,77000,46968,787,293
01037,"Coosa County, Alabama",1595,98400,48750,862,302
01039,"Covington County, Alabama",5328,114300,58252,909,299
01041,"Crenshaw County, Alabama",1653,98300,60785,924,337
01043,"Cullman County, Alabama",12900,126100,54936,999,394
01045,"Dale County, Alabama",6480,117200,63238,955,424
01047,"Dallas County, Alabama",4419,90700,53750,932,376
01049,"DeKalb County, Alabama",8584,114700,56360,942,382
01051,"Elmore County, Alabama",13896,164200,74655,1173,487
01053,"Escambia County, Alabama",3481,116200,60865,943,452
01055,"Etowah County, Alabama",14739,120300,62370,1032,492
01057,"Fayette County, Alabama",2100,90200,58630,928,290
01059,"Franklin County, Alabama",3845,90600,52170,854,321
01061,"Geneva County, Alabama",3539,93900,60903,883,357
01063,"Greene County, Alabama",654,82000,28125,816,287
01065,"Hale County, Alabama",1909,111000,54563,980,370
01067,"Henry County, Alabama",3031,134400,60233,1022,438
01069,"Houston County, Alabama",14832,138500,65040,1049,479
01071,"Jackson County, Alabama",6532,119200,60204,979,387
01073,"Jefferson County, Alabama",105247,160500,75797,1273,1020
01075,"Lamar County, Alabama",1510,86500,51321,869,257
01077,"Lauderdale County, Alabama",14192,135700,64915,1041,585
01079,"Lawrence County, Alabama",5084,111200,60771,983,372
01081,"Lee County, Alabama",21315,169500,78971,1220,889
01083,"Limestone County, Alabama",14795,159800,76431,1134,542
01085,"Lowndes County, Alabama",1262,86700,47986,965,351
01087,"Macon County, Alabama",2216,88100,48534,958,468
01089,"Madison County, Alabama",64907,177800,87581,1224,811
01091,"Marengo County, Alabama",2442,115100,53726,1037,379
01093,"Marion County, Alabama",4297,96900,55078,875,287
01095,"Marshall County, Alabama",13261,131400,61507,1023,531
